trackid,albumid,name,danceability,energy,key,valence,mode,tempo,speechiness,loudness,instrumentalness,acousticness,time_signature,liveness,sent,sent_magn
7qLEaxMiR8WUsCG1uOBsuO,4UY90kcO4N9ZPBl4xPLvvU,"""Louisiana 1927""",0.3446447507953341,0.2783919597989949,0.6363636363636364,0.1898477157360406,1.0,0.5611502961552146,0.030401737242128125,0.6316391450425334,0.0030425963488843817,0.3185929648241206,0.8,0.14241803278688525,0.444444442145,0.00150319428786
5jpEdHQL8kGxROtZkj4KXM,6BOlD6UGUg45IsUXPSplkY,"""Open The Door, Homer""",0.5026511134676565,0.4964824120603015,0.9090909090909092,0.7269035532994923,1.0,0.5968940329433432,0.04017372421281217,0.7273810374818309,0.022312373225152133,0.7738693467336683,0.8,0.09938524590163934,0.5,0.00165351375249
5zsoMSlSGkD4JV5KdXHFDs,6a3a1We83O9GOK6S4EyqiP,"""Some Other Time""",0.5864262990455991,0.5618090452261307,0.3636363636363637,0.7908629441624365,1.0,0.7453483748090164,0.04125950054288816,0.7451092525079229,0.024340770791075054,0.521608040201005,0.8,0.12909836065573768,0.166666644591,0.00308154821844
3mvhzWVKIbfNKGQAZqzriM,4xX94uM6Kf972DJurGKnbb,"""Don't Renege On Our Love""",0.7051961823966066,0.5557788944723618,0.6363636363636364,0.6741116751269035,1.0,0.5558592687163816,0.03474484256243214,0.5575094717277861,0.007099391480730223,0.3819095477386935,0.8,0.03790983606557377,0.444444442145,0.000977076251271
0hroZQJfRxMVB5W7eOsJNj,6vUWpE8qciYHOhf7mgaGny,"""You Don't Have To Cry""",0.5927889713679745,0.37587939698492456,0.6363636363636364,0.7248730964467005,1.0,0.3480106322861507,0.05537459283387622,0.565491934138728,0.0,0.5266331658291457,0.8,0.05327868852459017,0.5,0.00308154821844
1S0F285e5h5BNI2gJAmPqe,6f4mqM3RNAfO1t6XeeUa8P,"""Boris The Spider""",0.584305408271474,0.5788944723618089,0.6363636363636364,0.5045685279187818,1.0,0.4112266895498021,0.02823018458197611,0.7572378297233541,0.006085192697768764,0.28844221105527634,0.8,0.15266393442622947,0.38888888429,0.00270574964647
788U1Sqej9M6c4iikuDGxO,0PT5m6hwPRrpBwIHVnvbFX,"""I've Just Seen A Face""",0.6861081654294804,0.5597989949748744,0.8181818181818182,0.9269035532994924,1.0,0.5040624542162875,0.04234527687296417,0.7008840279267043,0.0,0.7266331658291456,0.6000000000000001,0.10040983606557376,0.5,0.00263059000376
1SzfsCocJOdmNNcaf973Hl,6S8NnF98qd0pOulShMT26k,"""Mr. Bobby""",0.6850477200424178,0.5427135678391959,0.8181818181818182,0.9817258883248728,0.0,0.6281127692082294,0.031487513572204126,0.7424404889556079,0.013184584178498986,0.6944723618090451,0.8,0.2233606557377049,0.777777785136,0.00698985358191
362CS15hE1upuTKoWApzLn,2UDDZVesmQwA4aYfa55diS,"""Brokedown Palace""",0.4835630965005303,0.3346733668341708,0.4545454545454546,0.3208121827411167,1.0,0.4835764666485276,0.04017372421281217,0.5709962589653775,0.0,0.3266331658291457,0.8,0.07889344262295082,0.777777785136,0.00390830500509
6R6sU1K1nDyWwSsBPVKsXr,7cAcex6xw4fP67ltgn1gm3,"""Georgia Lee""",0.3669141039236479,0.20201005025125626,0.09090909090909093,0.36852791878172586,1.0,0.33532723581489776,0.033659066232356136,0.6612099983320228,0.0010141987829614604,0.8291457286432159,0.6000000000000001,0.09221311475409837,0.444444442145,0.00202931232445
